"Gediplomeerden; onderwijssoort, woonregio";;;;;;;;;;;;;;;;;;;;;;;
Geslacht: Totaal mannen en vrouwen;;;;;;;;;;;;;;;;;;;;;;;
Perioden: 2021/'22*;;;;;;;;;;;;;;;;;;;;;;;
Onderwerp: |Gediplomeerden;;;;;;;;;;;;;;;;;;;;;;;
;Regiokenmerken;;;;;;;;;;;;;;;;;;;;;;
;Nederland;Noord-Nederland (LD);Oost-Nederland (LD);West-Nederland (LD);Zuid-Nederland (LD);Niet in te delen (LD);Groningen (PV);Fryslân (PV);Drenthe (PV);Overijssel (PV);Flevoland (PV);Gelderland (PV);Utrecht (PV);Noord-Holland (PV);Zuid-Holland (PV);Zeeland (PV);Noord-Brabant (PV);Limburg (PV);Niet in te delen (PV);Vier grootste gemeenten;Meer dan 100 000 inwoners (exclusief G4);Minder dan 100 000 inwoners;Niet in te delen
Onderwijssoort;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal
Totaal voortgezet onderwijs (vo);167410;16200;38620;78840;33410;340;4700;6490;5020;12860;4490;21270;14200;26400;34640;3600;24480;8930;340;18340;37650;111070;340
Vwo;35610;2830;6970;18980;6760;70;960;1060;810;2070;680;4220;3960;6650;7750;610;4920;1840;70;4660;8330;22550;70
Havo;45410;4340;10450;21400;9140;90;1230;1830;1280;3420;1170;5860;4040;7400;8910;1060;6760;2380;90;4530;10320;30470;90
Vmbo g/t;47340;4760;11140;21490;9840;120;1330;1940;1490;3910;1300;5930;3540;6950;9930;1070;7290;2540;120;4660;10710;31850;120
Vmbo-k;24870;2840;6590;10500;4890;40;750;1080;1010;2230;860;3510;1620;3460;4880;550;3530;1370;40;2670;5280;16870;40
Vmbo-b;14180;1430;3470;6470;2790;20;430;580;430;1230;480;1750;1050;1940;3180;310;1990;800;20;1820;3010;9330;20
Totaal vavo;5250;460;1200;2560;1010;10;150;190;130;350;130;730;420;990;1060;90;690;320;10;780;1480;2980;10
Vavo vwo;1560;160;340;770;290;0;50;70;40;100;40;200;140;340;260;30;210;90;0;250;410;900;0
Vavo havo;3050;270;700;1470;600;10;90;100;80;200;80;430;230;550;640;60;410;190;10;470;850;1730;10
Vavo vmbo-t;640;40;160;330;110;0;10;20;10;50;10;90;50;100;170;10;70;50;0;70;220;350;0
Totaal mbo (incl. extranei);152040;17960;37200;66260;29820;800;5610;7130;5230;12550;4820;19830;9900;21920;30910;3530;21380;8440;800;17330;34630;99280;800
Entreeopleiding (incl.extranei);11500;1210;2290;6000;1900;100;350;520;340;710;460;1130;670;2090;3000;230;1350;550;100;2370;2900;6130;100
Niveau 2 (inclusief extranei);33950;3770;8470;15420;6140;140;1240;1430;1110;2790;1090;4590;2210;5150;7270;790;4420;1720;140;4630;7680;21500;140
Niveau 3 (inclusief extranei);34040;4500;9030;13580;6760;170;1340;1910;1250;3070;1010;4950;1870;4430;6330;950;4840;1930;170;2750;7020;24110;170
Niveau 4 (inclusief extranei);72540;8480;17400;31260;15020;390;2670;3270;2530;5980;2260;9160;5160;10250;14300;1560;10780;4240;390;7580;17030;47550;390
Hbo-associate degree;5120;550;1160;1860;1500;50;160;220;170;350;160;640;310;400;1000;150;1260;240;50;460;1290;3330;50
Hbo-bachelor;66450;7060;14440;28500;14130;2330;3300;2340;1420;5160;1350;7930;5170;9670;12590;1060;10240;3890;2330;10340;19910;33870;2330
Hbo-master/vervolgopleiding;4670;500;820;2040;870;440;230;190;80;300;60;470;400;720;870;50;650;220;440;1080;1340;1820;440
Wo-bachelor;41640;4020;5850;22440;6570;2760;3440;330;250;1660;370;3820;4120;7580;10490;250;3960;2610;2760;11580;15950;11340;2760
Wo-master;51590;3830;6880;26660;7360;6870;3080;470;280;1790;360;4730;5000;9580;11930;160;4980;2390;6870;15950;17060;11710;6870
Bron: CBS;;;;;;;;;;;;;;;;;;;;;;;
